제품,상세설명,구매LINK,catalog down,보호종류,제품군,통신여부,통신종류,내장 ZCT,과전류/저전류,결상,역상,누설(지락),단락,과전압/저전압,전력,,,,,,,,
EOCRDZ-60NM7,EOCR-DZ 60 N 220(ONLY),https://smartstore.naver.com/htengineering/products/11663687303,https://blog.naver.com/ht-eng/223978420014,전류,Analog,비통신,불가,X,과전류,가능,가능,가능,불가,불가,불가,,,,,,,,
EOCRDZ-60RF7,EOCR-DZ 60 R 110(ONLY),https://smartstore.naver.com/htengineering/products/11663698833,https://blog.naver.com/ht-eng/223978420014,전류,Analog,비통신,불가,X,과전류,가능,가능,가능,불가,불가,불가,,,,,,,,
EOCRDZ-60RM7,EOCR-DZ 60 R 220(ONLY),https://smartstore.naver.com/htengineering/products/11663704950,https://blog.naver.com/ht-eng/223978420014,전류,Analog,비통신,불가,X,과전류,가능,가능,가능,불가,불가,불가,,,,,,,,
EOCRDZT-05RM7,EOCR-DZT 05 R 220,X,https://blog.naver.com/ht-eng/223978420014,전류,Analog,비통신,불가,X,과전류,가능,가능,가능,불가,불가,불가,,,,,,,,
EOCRDZT-60RM7,EOCR-DZT 60 R 220,X,https://blog.naver.com/ht-eng/223978420014,전류,Analog,비통신,불가,X,과전류,가능,가능,가능,불가,불가,불가,,,,,,,,
EOCRFDE-05DUH,"FDE, 05A/100-240V,OL+AL,Hole,PDM",https://smartstore.naver.com/htengineering/products/11687977232,https://blog.naver.com/ht-eng/223827530874,전류,Digital,비통신,불가,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
EOCRFDE-05DUT,"FDE, 05A/100-240V,OL+AL,TB,PDM",https://smartstore.naver.com/htengineering/products/11687982210,https://blog.naver.com/ht-eng/223827530874,전류,Digital,비통신,불가,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
EOCRFDE-80DUH,"FDE, 80A/100-240V,OL+AL,Hole,PDM",https://smartstore.naver.com/htengineering/products/11687979263,https://blog.naver.com/ht-eng/223827530874,전류,Digital,비통신,불가,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
EOCRFDE-80DUT,"FDE, 80A/100-240V,OL+AL,TB,PDM",https://smartstore.naver.com/htengineering/products/11687984441,https://blog.naver.com/ht-eng/223827530874,전류,Digital,비통신,불가,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
EOCRFE420-05DUH,"FE420, 05A/100-240V,OL+420,Hole,PDM",https://smartstore.naver.com/htengineering/products/11687835974,https://blog.naver.com/ht-eng/223827530874,전류,Digital,통신,4-20mA,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
EOCRFE420-05DUT,"FE420, 05A/100-240V,OL+420,TB,PDM",https://smartstore.naver.com/htengineering/products/11687879095,https://blog.naver.com/ht-eng/223827530874,전류,Digital,통신,4-20mA,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
EOCRFE420-80DUH,"FE420, 80A/100-240V,OL+420,Hole,PDM",https://smartstore.naver.com/htengineering/products/11687871197,https://blog.naver.com/ht-eng/223827530874,전류,Digital,통신,4-20mA,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
EOCRFE420-80DUT,"FE420, 80A/100-240V,OL+420,TB,PDM",https://smartstore.naver.com/htengineering/products/11687888093,https://blog.naver.com/ht-eng/223827530874,전류,Digital,통신,4-20mA,X,모든조건,가능,가능,불가,불가,불가,불가,,,,,,,,
